,id,name,x,y,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,row,col,accsum,x_degree,y_degree,z_degree,x_rad,y_rad,z_rad
1101,412,eunnho,304,560,0.679504395,-5.597793119,-8.706813612,39.59696303,29.63660745,35.05349729,2,2,10.373312744733793,86.24414768219017,122.65873281964944,147.0712760898674,1.5052443376304545,2.140798744026911,2.566878002877798
1102,413,eunnho,194,522,1.885583445,-5.91936433,-7.482029241,7.546191071,-15.93320063,-41.98369068,2,1,9.724970980034513,78.82005924113562,127.49388920917747,140.29668795466552,1.3756695503747998,2.2251881428730163,2.4486391344519824
1103,414,eunnho,325,192,3.045424366,-7.902211632,-5.454738985,-35.32510318,-45.73858717,-12.03485394,0,2,10.073417277191561,72.40282670380792,141.67093405175,122.78569740305272,1.2636677137323216,2.4726242535787883,2.143014694040721
1104,415,eunnho,203,397,2.146551572,-5.876418922,-5.328145573,43.27299134,-14.22073218,-36.37888184,1,1,8.21761025147669,74.85791483450863,135.65145328561988,130.41967663565876,1.306517085039682,2.367564494949347,2.2762527666785664
1105,416,eunnho,87,545,3.542819907,-6.519561343,-7.23228408,30.04536695,-32.89390076,-21.47590426,2,0,10.361572564644659,70.00615877634246,128.99155067007095,134.2660406160543,1.2218379673211004,2.251327266445836,2.343384482366583
1106,417,eunnho,206,207,3.178153066,-8.249670733,-5.559485892,-29.54841946,-2.450006358,-21.10662154,0,1,10.44344806551883,72.28272484117838,142.17966647451863,122.16383043348037,1.261571540791658,2.4815033093677483,2.132161067912284
1107,418,eunnho,99,394,3.860051919,-6.643759969,-6.255600025,2.701748347,-5.998297315,-3.283861465,1,0,9.908182427460774,67.07149225367877,132.10818946680178,129.15030834896294,1.1706183740525664,2.305722875044183,2.2540981106553253
1108,419,eunnho,307,392,0.763002142,-6.177189921,-8.280496079,33.62218676,10.55884579,16.50909486,1,2,10.358883284559923,85.77595115742102,126.60665582922128,143.0692064032736,1.4970727667268375,2.209702999159183,2.4970287099524784
1109,420,eunnho,111,200,4.252700114,-7.97792826,-3.844339386,49.04440215,-68.25242747,-36.48058336,0,0,9.824039031685139,64.34907496638513,144.2998800144813,113.03663600730273,1.1231032287760798,2.518508016485461,1.9728614737058097
1110,421,eunnho,311,566,0.157418796,-4.807258243,-9.447669389,33.47861618,63.26611617,24.88072966,2,2,10.601555045184321,89.14920367257018,116.96514634198445,153.01922804192972,1.5559471296173706,2.04142691374463,2.6706893481917096
1111,422,eunnho,304,390,1.133953761,-6.718429134,-7.971344205,15.35357028,14.92554794,-2.546074036,1,2,10.486442180036713,83.79216953327335,129.84236873978617,139.47805555780914,1.4624492457449,2.266176843097829,2.4343513037633455
1112,423,eunnho,117,392,2.55655846,-7.1202061,-4.699219308,6.416975959,-27.57641237,-24.4223198,1,0,8.905952401094158,73.31787001637714,143.0812808598249,121.84676282449712,1.27963823233501,2.4972394489746876,2.1266271941841004
1113,424,eunnho,222,218,2.671779707,-8.825776092,-4.28382532,-36.64074105,-17.61483077,-1.083529791,0,1,10.167786868396137,74.7655685077112,150.22860761070595,114.91753860601088,1.3049053375849438,2.6219838334934304,2.0056894169625847
1114,425,eunnho,215,384,1.628057275,-7.083246196,-6.474220564,21.63794367,-3.723504093,-27.17125408,1,1,9.733369358816574,80.3711303784312,136.696267598683,131.6943853325227,1.4027408486532607,2.385799944784261,2.298500630442648
1115,426,eunnho,86,552,3.318663068,-6.594978695,-6.30183746,-1.913285824,-20.76732165,-28.50081529,2,0,9.706720554269104,70.00773164452445,132.7986470566199,130.48313207668815,1.2218654190495761,2.3177736333318935,2.2773602730528344
1116,427,eunnho,211,563,0.72813658,-6.670396047,-8.177695045,14.76235082,46.30367604,-1.804827542,2,1,10.578235323152198,86.05301199578889,129.09273436306177,140.63019612644607,1.5019083905846928,2.253093255037853,2.4544599501318594
1117,428,eunnho,312,544,0.039654031,-5.498284697,-9.111284055,16.42028703,19.56596822,10.84228668,2,2,10.641813951687755,89.78650125954988,121.10901152439043,148.8900892828392,1.5670700708251812,2.1137510049363697,2.5986222815738667
1118,429,eunnho,117,200,3.94025709,-9.165751559,-6.573728986,-26.37620299,28.17300719,-8.426021888,0,0,11.947825758604901,70.74405329247459,140.0984748914556,123.38093734355692,1.2347166561600167,2.4451796638785055,2.1534035908418945
1119,430,eunnho,300,204,2.838026793,-7.542783277,-4.364779264,-29.91234219,-48.70893741,-15.95415735,0,2,9.165111765004347,71.96153255654004,145.38510142323275,118.44002062198105,1.255965677892716,2.5374487031813056,2.0671683259835514
1120,431,eunnho,188,546,1.312770698,-6.173149706,-8.091054288,24.6767785,34.11942453,-19.33497976,2,1,10.26139871993962,82.64984007082028,126.98382208449534,142.04502227492324,1.4425118354825572,2.2162857921411327,2.4791533247660964
1121,432,eunnho,223,396,1.899349958,-6.70181936,-6.747158969,24.12786181,-17.66976768,-18.95201959,1,1,9.69773515569396,78.70532513051471,133.71491360008946,134.08668148482928,1.3736670623801175,2.3337655013413054,2.34025407498319
